# 武英殿刻本 同文書局本 標點整理本
㛯	627:6	266:4	202:22
㛰	627:7	266:5	202:23
㛱	627:9	266:7	202:25
㛲	627:15	266:13	202:31
㛳	627:17	266:15	202:33
㛴	628:2	266:19	203:3
㛵	628:3	266:20	203:4
㛶	628:15	266:32	203:16
㛷	629:5	266:42	203:26
㛸	629:6	266:43	203:27
㛹	629:18	267:12	204:1
㛺	630:3	267:15	204:4
㛻	630:6	267:18	204:7
㛼	630:14	267:26	204:15
㛽	631:3	267:30	204:19
㛾	3718:16	1550:83	212:59
㜂	3718:10	1550:77	212:53
㜃	3718:12	1550:79	212:55
㜄	3718:9	1550:76	212:52
㜅	631:11	267:38	204:27
㜆	631:13	268:1	204:29
㜇	631:14	268:2	204:30
㜈	631:16	268:4	204:32
㜉	632:6	268:13	205:6
㜊	632:17	268:24	205:17
㜋	633:3	268:30	205:23
㜌	634:2	269:3	206:2
㜍	634:6	269:7	206:6
㜎	634:7	269:8	206:7
㜏	634:9	269:10	206:9
㜐	634:10	269:11	206:10
㜑	634:12	269:13	206:12
㜒	634:17	269:18	206:17
㜖	635:10	269:30	206:29
㜗	635:15	269:35	206:34
㜘	636:2	270:2	207:1
㜙	636:12	270:12	207:11
㜚	637:1	270:14	207:13
㜛	637:6	270:19	207:18
㜜	637:12	270:25	207:24
㜝	637:13	270:26	207:25
㜞	637:16	270:29	207:28
㜠	3718:23	1551:4	212:66
㜡	3718:24	1551:5	212:67
㜣	638:1	270:36	207:35
㜤	638:2	270:37	207:36
㜥	638:13	271:9	208:11
㜦	639:11	271:23	208:25
㜧	3796:13	1592:103	213:77
㜩	640:9	271:37	209:6
㜪	641:9	272:16	209:22
㜫	3796:18	1592:108	214:3
㜮	642:9	272:45	210:5
㜯	644:4	273:15	210:22
㜰	644:11	273:22	210:29
㜱	644:18	273:29	211:5
㜲	644:22	273:33	211:9
㜳	644:24	273:35	211:11
㜴	644:28	273:39	211:15
㜵	3719:8	1551:34	213:22
㜷	645:4	274:3	211:22
㜸	645:7	274:6	211:25
㜹	645:16	274:15	211:34
㜺	645:20	274:19	211:38
㜻	646:11	274:34	212:6
㜼	646:12	274:35	212:7
㜽	657:3	277:16	215:9
㜾	659:2	278:13	216:10
㜿	659:4	278:15	216:12
㝀	3719:17	1551:43	219:8
㝁	661:2	279:17	217:10
㝂	661:7	279:22	217:15
㝃	661:9	279:24	217:17
㝄	662:10	280:10	218:5
㝅	663:7	280:19	218:13
㝇	3796:55	1593:18	219:36
㝈	665:2	281:10	219:5
㝊	666:3	281:19	220:1
㝋	3797:2	1593:24	231:36
㝌	666:5	281:23	220:3
㝏	668:4	282:15	220:15
㝐	668:5	282:16	220:16
㝑	668:10	282:21	221:2
㝒	672:1	284:7	222:3
㝓	672:4	284:10	222:6
㝔	673:2	284:19	222:14
㝕	674:5	285:8	223:8
㝖	3797:18	1593:40	231:52
㝗	675:2	285:13	223:13
㝘	675:8	286:3	224:4
㝙	679:5	287:9	225:6
㝚	3797:27	1593:49	232:6
㝛	679:10	287:16	225:11
㝜	680:1	287:17	225:12
㝝	681:2	288:12	226:3
㝞	681:3	288:13	226:4
㝟	3719:36	1551:62	231:27
㝢	683:6	289:14	227:6
㝣	683:1	289:7	227:1
㝤	684:14	290:2	227:24
㝥	684:16	290:4	227:26
㝦	685:3	290:9	227:31
㝧	685:4	290:10	227:32
㝩	685:7	290:13	228:2
㝪	685:8	290:14	228:3
㝫	688:11	291:18	229:11
㝭	688:13	291:20	229:13
㝮	689:3	292:1	229:16
㝯	689:4	292:2	229:17
㝰	691:11	293:1	230:24
㝱	692:8	293:19	231:6
㝲	692:18	293:29	231:16
㝴	694:2	294:2	232:51
㝵	694:4	294:4	232:53
㝶	695:6	294:15	233:6
㝸	702:7	297:16	236:6
㝹	702:11	297:20	236:10
㝺	703:9	297:30	236:20
㝻	703:11	297:32	236:22
㝼	705:3	298:7	237:6
㝿	706:1	298:21	237:20
㞀	706:7	298:27	237:26
㞁	706:8	298:28	237:27
㞂	706:10	298:30	237:29
㞃	706:15	298:35	237:34
㞄	706:16	298:36	237:35
㞅	706:18	298:38	237:37
㞆	706:21	298:41	238:2
㞈	707:1	299:6	238:10
㞉	707:3	299:8	238:12
㞊	707:9	299:14	238:18
㞋	710:2	300:5	239:7
㞌	710:9	300:12	239:14
㞏	711:3	300:25	240:3
㞐	711:8	301:1	240:8
㞑	712:6	301:13	240:16
㞒	712:11	301:18	240:21
㞓	713:2	301:22	240:24
㞔	713:6	301:26	241:4
㞕	713:10	301:30	241:8
㞖	713:11	301:31	241:9
㞗	714:5	302:7	241:20
㞘	715:11	302:23	241:35
㞙	3799:20	1594:49	244:29
㞚	716:5	302:33	242:9
㞛	716:16	303:11	242:20
㞜	717:16	303:37	243:1
㞟	718:1	303:45	243:7
㞡	718:13	304:5	243:19
㞢	720:3	304:12	244:43
㞣	721:6	305:4	244:49
㞤	732:2	307:3	246:3
㞥	732:4	307:5	246:5
㞦	732:6	307:7	246:7
㞧	732:8	307:9	246:9
㞨	732:15	307:16	246:16
㞩	733:1	307:18	246:18
㞪	733:3	307:20	246:20
㞫	733:9	307:26	246:26
㞬	3721:6	1552:27	263:19
㞭	3721:4	1552:25	263:17
㞯	3721:5	1552:26	263:18
㞰	733:12	307:29	246:29
㞱	733:15	307:32	247:1
㞲	733:17	308:2	247:3
㞳	733:20	308:5	247:6
㞴	734:2	308:16	247:17
㞵	734:6	308:20	247:21
㞶	735:3	308:30	247:29
㞷	721:8	305:6	244:51
㞹	735:19	309:3	248:7
㞺	736:2	309:6	248:10
㞻	736:4	309:8	248:12
㞼	736:8	309:12	248:16
㞽	736:10	309:14	248:18
㞾	737:13	309:36	249:4
㞿	3721:9	1552:30	263:22
㟀	3721:11	1552:32	263:24
㟄	738:16	310:16	249:20
㟅	739:3	310:21	249:25
㟇	740:10	311:7	250:12
㟈	741:13	311:22	250:27
㟉	741:16	311:25	250:30
㟊	741:18	311:27	250:32
㟋	742:1	311:29	250:34
㟌	742:10	311:38	251:8
㟍	742:12	312:1	251:10
㟎	743:4	312:8	251:17
㟏	743:13	312:17	251:26
㟐	744:3	312:22	252:1
㟑	744:7	312:26	252:5
㟓	742:4	311:32	251:2
㟔	3800:4	1594:94	264:44
㟗	744:13	312:32	252:11
㟘	744:14	312:33	252:12
㟙	745:6	313:7	252:22
㟚	745:8	313:9	252:24
㟛	746:2	313:15	252:29
㟜	748:9	314:19	253:21
㟝	748:14	314:24	253:26
㟞	750:2	315:8	254:16
㟟	750:4	315:10	254:18
㟠	750:8	315:14	254:22
